transcript_id,theme,speaker,text,label
1,Project Sprint Planning,Dave,Yeah Like I noticed that this morning. Someone should call maintenance.,0
1,Project Sprint Planning,Bob,"Oh and by Like the way, the coffee machine on the third floor is broken again.",0
1,Project Sprint Planning,Alice,"Haha, that's the third time this month.",0
1,Project Sprint Planning,Dave,Let's schedule a code review meeting for Wednesday at 3 PM.,1
1,Project Sprint Planning,Alice,So how was everyone's weekend?,0
1,Project Sprint Planning,Bob,"Pretty Like good, I watched that new movie everyone's talking about.",0
1,Project Sprint Planning,Bob,Action I mean item: create the CI/CD pipeline this week.,1
1,Project Sprint Planning,Dave,"Nice, where did you go hiking?",0
1,Project Sprint Planning,Carol,"Oh yeah, I heard it was great. I went hiking actually.",0
1,Project Sprint Planning,Dave,I will follow up with the DevOps team about server access.,1
1,Project Sprint Planning,Alice,"The deadline for the client demo is April 1st, no extensions.",1
1,Project Sprint Planning,Alice,"That sounds lovely. Anyway, back to the sprint.",0
1,Project Sprint Planning,Alice,We need to finalize the API design by Friday March 15.,1
1,Project Sprint Planning,Bob,At least You know the one on the fifth floor works.,0
1,Project Sprint Planning,Carol,The deployment Actually to AWS should happen next Monday March 25.,1
1,Project Sprint Planning,Bob,I will prepare the database schema and send it to Carol by Thursday.,1
1,Project Sprint Planning,Carol,"Up at Mount Wilson, the weather was perfect.",0
1,Project Sprint Planning,Carol,We decided to use React for the frontend instead of Vue.,1
2,Research Group Meeting,Frank,"Yeah, I think it's at noon in the common room.",0
2,Research Group Meeting,Eve,The I mean paper submission deadline for ICML is June 15.,1
2,Research Group Meeting,Frank,I will complete the experimental results section by next week.,1
2,Research Group Meeting,Eve,"Haha, the power of pizza. Oh also, has anyone tried the new cafe near the library?",0
2,Research Group Meeting,Hank,We decided to extend our dataset with the 2024 corpus.,1
2,Research Group Meeting,Hank,I prefer the one across the street honestly.,0
2,Research Group Meeting,Grace,"Oh, in that case I might show up.",0
2,Research Group Meeting,Grace,We need Um to revise the literature review based on reviewer feedback.,1
2,Research Group Meeting,Eve,The collaboration with Um Stanford starts on May 1st.,1
2,Research Group Meeting,Eve,Let's agree on using BERT as our baseline model.,1
2,Research Group Meeting,Frank,"Yes, You know their espresso is actually really good.",0
2,Research Group Meeting,Frank,Action item: Grace will prepare the presentation slides for the department seminar.,1
2,Research Group Meeting,Hank,I heard they're serving pizza this time.,0
2,Research Group Meeting,Eve,To each their own. So where were we?,0
2,Research Group Meeting,Hank,The budget I mean request for GPU compute time should be submitted to Dr. Smith.,1
2,Research Group Meeting,Eve,Did Actually anyone see the email about the faculty lunch today?,0
2,Research Group Meeting,Grace,"I might skip it, I have so much grading to do.",0
3,Startup Team Standup,Bob,The mobile app Actually beta version will be ready by March 28.,1
3,Startup Team Standup,Eve,Has anyone been to that new ramen place downtown?,0
